...Logging started...
0.049368: Server Started
6.4493031: RespondedAwaitingApproval 4652121762545616561 127.0.0.1
6.4533208: RespondedConnect 4652121762545616561 127.0.0.1
6.4570765: Connected 4652121762545616561 127.0.0.1
6.4604543: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: StartVoIP( 1 )

6.4612737: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetPlayerId( 0 )

6.4668955: AreaChange 4652121762545616561 127.0.0.1
6.4690981: RPC ServerOnly NetSyncId: -1 Function: DoNukeEffect(  )

6.4737331: Instantiate 4652121762545616561 127.0.0.1
	NetworkId: 1
	Prefab: PlayerCharacter
	Loc: 0, 0, 0
	Orientation: 0, 0, 0, 1
26.3909812: SyncUpdate 4652121762545616561 127.0.0.1
26.4903807: SyncUpdate 4652121762545616561 127.0.0.1
26.5910187: SyncUpdate 4652121762545616561 127.0.0.1
26.6917992: SyncUpdate 4652121762545616561 127.0.0.1
26.7925255: SyncUpdate 4652121762545616561 127.0.0.1
26.8926318: SyncUpdate 4652121762545616561 127.0.0.1
26.9938985: SyncUpdate 4652121762545616561 127.0.0.1
27.0942444: SyncUpdate 4652121762545616561 127.0.0.1
27.1945805: SyncUpdate 4652121762545616561 127.0.0.1
27.295421: SyncUpdate 4652121762545616561 127.0.0.1
27.3967254: SyncUpdate 4652121762545616561 127.0.0.1
27.4959156: SyncUpdate 4652121762545616561 127.0.0.1
27.5968465: SyncUpdate 4652121762545616561 127.0.0.1
27.6994826: SyncUpdate 4652121762545616561 127.0.0.1
27.7992601: SyncUpdate 4652121762545616561 127.0.0.1
27.8994296: SyncUpdate 4652121762545616561 127.0.0.1
28.0002974: SyncUpdate 4652121762545616561 127.0.0.1
28.1013782: SyncUpdate 4652121762545616561 127.0.0.1
28.2011615: SyncUpdate 4652121762545616561 127.0.0.1
28.3021956: SyncUpdate 4652121762545616561 127.0.0.1
28.4027344: SyncUpdate 4652121762545616561 127.0.0.1
28.5033697: SyncUpdate 4652121762545616561 127.0.0.1
28.6038872: SyncUpdate 4652121762545616561 127.0.0.1
28.7026945: SyncUpdate 4652121762545616561 127.0.0.1
28.8044465: SyncUpdate 4652121762545616561 127.0.0.1
28.9042088: SyncUpdate 4652121762545616561 127.0.0.1
29.0055725: SyncUpdate 4652121762545616561 127.0.0.1
29.1067357: SyncUpdate 4652121762545616561 127.0.0.1
29.2075965: SyncUpdate 4652121762545616561 127.0.0.1
29.3070456: SyncUpdate 4652121762545616561 127.0.0.1
29.4083347: SyncUpdate 4652121762545616561 127.0.0.1
29.5082333: SyncUpdate 4652121762545616561 127.0.0.1
29.6090671: SyncUpdate 4652121762545616561 127.0.0.1
29.7112989: SyncUpdate 4652121762545616561 127.0.0.1
29.8096206: SyncUpdate 4652121762545616561 127.0.0.1
29.910096: SyncUpdate 4652121762545616561 127.0.0.1
30.0137781: SyncUpdate 4652121762545616561 127.0.0.1
30.1113986: SyncUpdate 4652121762545616561 127.0.0.1
30.2124208: SyncUpdate 4652121762545616561 127.0.0.1
30.3154506: SyncUpdate 4652121762545616561 127.0.0.1
30.4159009: SyncUpdate 4652121762545616561 127.0.0.1
30.5170051: SyncUpdate 4652121762545616561 127.0.0.1
30.6159545: SyncUpdate 4652121762545616561 127.0.0.1
30.7183748: SyncUpdate 4652121762545616561 127.0.0.1
30.8171565: SyncUpdate 4652121762545616561 127.0.0.1
30.9174512: SyncUpdate 4652121762545616561 127.0.0.1
31.018584: SyncUpdate 4652121762545616561 127.0.0.1
31.1195684: SyncUpdate 4652121762545616561 127.0.0.1
31.2192413: SyncUpdate 4652121762545616561 127.0.0.1
31.3193899: SyncUpdate 4652121762545616561 127.0.0.1
31.4198856: SyncUpdate 4652121762545616561 127.0.0.1
31.5201153: SyncUpdate 4652121762545616561 127.0.0.1
31.6213955: SyncUpdate 4652121762545616561 127.0.0.1
31.7221576: SyncUpdate 4652121762545616561 127.0.0.1
31.8217594: SyncUpdate 4652121762545616561 127.0.0.1
31.9239125: SyncUpdate 4652121762545616561 127.0.0.1
32.0245838: SyncUpdate 4652121762545616561 127.0.0.1
32.1266167: SyncUpdate 4652121762545616561 127.0.0.1
32.2257332: SyncUpdate 4652121762545616561 127.0.0.1
32.3262032: SyncUpdate 4652121762545616561 127.0.0.1
32.4279023: SyncUpdate 4652121762545616561 127.0.0.1
32.5281719: SyncUpdate 4652121762545616561 127.0.0.1
32.6307581: SyncUpdate 4652121762545616561 127.0.0.1
32.729724: SyncUpdate 4652121762545616561 127.0.0.1
32.8304125: SyncUpdate 4652121762545616561 127.0.0.1
32.9313914: SyncUpdate 4652121762545616561 127.0.0.1
33.0306427: SyncUpdate 4652121762545616561 127.0.0.1
33.1318889: SyncUpdate 4652121762545616561 127.0.0.1
33.2335795: SyncUpdate 4652121762545616561 127.0.0.1
33.3320782: SyncUpdate 4652121762545616561 127.0.0.1
33.4329236: SyncUpdate 4652121762545616561 127.0.0.1
33.535503: SyncUpdate 4652121762545616561 127.0.0.1
33.6351575: SyncUpdate 4652121762545616561 127.0.0.1
33.7373971: SyncUpdate 4652121762545616561 127.0.0.1
33.8382199: SyncUpdate 4652121762545616561 127.0.0.1
33.9401632: SyncUpdate 4652121762545616561 127.0.0.1
34.0392576: SyncUpdate 4652121762545616561 127.0.0.1
34.1402422: SyncUpdate 4652121762545616561 127.0.0.1
34.2412033: SyncUpdate 4652121762545616561 127.0.0.1
34.3417078: SyncUpdate 4652121762545616561 127.0.0.1
34.4431144: SyncUpdate 4652121762545616561 127.0.0.1
34.5420696: SyncUpdate 4652121762545616561 127.0.0.1
34.6431772: SyncUpdate 4652121762545616561 127.0.0.1
34.7435378: SyncUpdate 4652121762545616561 127.0.0.1
34.8440002: SyncUpdate 4652121762545616561 127.0.0.1
34.9448619: SyncUpdate 4652121762545616561 127.0.0.1
35.0469966: SyncUpdate 4652121762545616561 127.0.0.1
35.1459059: SyncUpdate 4652121762545616561 127.0.0.1
35.2468734: SyncUpdate 4652121762545616561 127.0.0.1
35.3479137: SyncUpdate 4652121762545616561 127.0.0.1
35.4486636: SyncUpdate 4652121762545616561 127.0.0.1
35.5495335: SyncUpdate 4652121762545616561 127.0.0.1
35.6493487: SyncUpdate 4652121762545616561 127.0.0.1
35.7497051: SyncUpdate 4652121762545616561 127.0.0.1
35.8508265: SyncUpdate 4652121762545616561 127.0.0.1
35.9516049: SyncUpdate 4652121762545616561 127.0.0.1
36.0522907: SyncUpdate 4652121762545616561 127.0.0.1
36.1515484: SyncUpdate 4652121762545616561 127.0.0.1
36.2533149: SyncUpdate 4652121762545616561 127.0.0.1
36.3526006: SyncUpdate 4652121762545616561 127.0.0.1
36.454385: SyncUpdate 4652121762545616561 127.0.0.1
36.5554067: SyncUpdate 4652121762545616561 127.0.0.1
36.6559881: SyncUpdate 4652121762545616561 127.0.0.1
36.7561245: SyncUpdate 4652121762545616561 127.0.0.1
36.8568112: SyncUpdate 4652121762545616561 127.0.0.1
36.9557907: SyncUpdate 4652121762545616561 127.0.0.1
37.0575533: SyncUpdate 4652121762545616561 127.0.0.1
37.1577809: SyncUpdate 4652121762545616561 127.0.0.1
37.258134: SyncUpdate 4652121762545616561 127.0.0.1
37.3591408: SyncUpdate 4652121762545616561 127.0.0.1
37.4606507: SyncUpdate 4652121762545616561 127.0.0.1
37.5610334: SyncUpdate 4652121762545616561 127.0.0.1
37.6617403: SyncUpdate 4652121762545616561 127.0.0.1
37.7610209: SyncUpdate 4652121762545616561 127.0.0.1
37.861655: SyncUpdate 4652121762545616561 127.0.0.1
37.9632552: SyncUpdate 4652121762545616561 127.0.0.1
38.0626899: SyncUpdate 4652121762545616561 127.0.0.1
38.1619749: SyncUpdate 4652121762545616561 127.0.0.1
38.2622273: SyncUpdate 4652121762545616561 127.0.0.1
38.3685011: SyncUpdate 4652121762545616561 127.0.0.1
38.4652634: SyncUpdate 4652121762545616561 127.0.0.1
38.5663552: SyncUpdate 4652121762545616561 127.0.0.1
38.6649269: SyncUpdate 4652121762545616561 127.0.0.1
38.767374: SyncUpdate 4652121762545616561 127.0.0.1
38.8672658: SyncUpdate 4652121762545616561 127.0.0.1
38.9689978: SyncUpdate 4652121762545616561 127.0.0.1
39.0674323: SyncUpdate 4652121762545616561 127.0.0.1
39.1688222: SyncUpdate 4652121762545616561 127.0.0.1
39.2697639: SyncUpdate 4652121762545616561 127.0.0.1
39.3707568: SyncUpdate 4652121762545616561 127.0.0.1
39.4725085: SyncUpdate 4652121762545616561 127.0.0.1
39.5712406: SyncUpdate 4652121762545616561 127.0.0.1
39.6726825: SyncUpdate 4652121762545616561 127.0.0.1
39.7744067: SyncUpdate 4652121762545616561 127.0.0.1
39.8762386: SyncUpdate 4652121762545616561 127.0.0.1
39.9756992: SyncUpdate 4652121762545616561 127.0.0.1
40.0765771: SyncUpdate 4652121762545616561 127.0.0.1
40.1766695: SyncUpdate 4652121762545616561 127.0.0.1
40.276122: SyncUpdate 4652121762545616561 127.0.0.1
40.3771486: SyncUpdate 4652121762545616561 127.0.0.1
40.4764229: SyncUpdate 4652121762545616561 127.0.0.1
40.5776289: SyncUpdate 4652121762545616561 127.0.0.1
40.6795969: SyncUpdate 4652121762545616561 127.0.0.1
40.7793135: SyncUpdate 4652121762545616561 127.0.0.1
40.8794295: SyncUpdate 4652121762545616561 127.0.0.1
40.9797009: SyncUpdate 4652121762545616561 127.0.0.1
41.0796901: SyncUpdate 4652121762545616561 127.0.0.1
41.1804403: SyncUpdate 4652121762545616561 127.0.0.1
41.2822598: SyncUpdate 4652121762545616561 127.0.0.1
41.3820519: SyncUpdate 4652121762545616561 127.0.0.1
41.4842254: SyncUpdate 4652121762545616561 127.0.0.1
41.5828875: SyncUpdate 4652121762545616561 127.0.0.1
41.6829633: SyncUpdate 4652121762545616561 127.0.0.1
41.785817: SyncUpdate 4652121762545616561 127.0.0.1
41.8847971: SyncUpdate 4652121762545616561 127.0.0.1
41.9875272: SyncUpdate 4652121762545616561 127.0.0.1
42.0877879: SyncUpdate 4652121762545616561 127.0.0.1
42.1867508: SyncUpdate 4652121762545616561 127.0.0.1
42.2905868: SyncUpdate 4652121762545616561 127.0.0.1
42.391331: SyncUpdate 4652121762545616561 127.0.0.1
42.4900349: SyncUpdate 4652121762545616561 127.0.0.1
42.5903087: SyncUpdate 4652121762545616561 127.0.0.1
42.6909431: SyncUpdate 4652121762545616561 127.0.0.1
42.7946994: SyncUpdate 4652121762545616561 127.0.0.1
42.893262: SyncUpdate 4652121762545616561 127.0.0.1
42.9924564: SyncUpdate 4652121762545616561 127.0.0.1
43.0950224: SyncUpdate 4652121762545616561 127.0.0.1
43.1937472: SyncUpdate 4652121762545616561 127.0.0.1
43.2955932: SyncUpdate 4652121762545616561 127.0.0.1
43.3972735: SyncUpdate 4652121762545616561 127.0.0.1
43.4965582: SyncUpdate 4652121762545616561 127.0.0.1
43.5967055: SyncUpdate 4652121762545616561 127.0.0.1
43.7012445: SyncUpdate 4652121762545616561 127.0.0.1
43.8030336: SyncUpdate 4652121762545616561 127.0.0.1
43.9039878: SyncUpdate 4652121762545616561 127.0.0.1
44.0054689: SyncUpdate 4652121762545616561 127.0.0.1
44.1046755: SyncUpdate 4652121762545616561 127.0.0.1
44.2061621: SyncUpdate 4652121762545616561 127.0.0.1
44.3091776: SyncUpdate 4652121762545616561 127.0.0.1
44.4080049: SyncUpdate 4652121762545616561 127.0.0.1
44.5079775: SyncUpdate 4652121762545616561 127.0.0.1
44.6100017: SyncUpdate 4652121762545616561 127.0.0.1
44.7093866: SyncUpdate 4652121762545616561 127.0.0.1
44.8110088: SyncUpdate 4652121762545616561 127.0.0.1
44.9103019: SyncUpdate 4652121762545616561 127.0.0.1
45.0118081: SyncUpdate 4652121762545616561 127.0.0.1
45.1123857: SyncUpdate 4652121762545616561 127.0.0.1
45.212943: SyncUpdate 4652121762545616561 127.0.0.1
45.3140668: SyncUpdate 4652121762545616561 127.0.0.1
45.4156468: SyncUpdate 4652121762545616561 127.0.0.1
45.5157193: SyncUpdate 4652121762545616561 127.0.0.1
45.6144828: SyncUpdate 4652121762545616561 127.0.0.1
45.7150947: SyncUpdate 4652121762545616561 127.0.0.1
45.8156502: SyncUpdate 4652121762545616561 127.0.0.1
45.9169838: SyncUpdate 4652121762545616561 127.0.0.1
46.0167818: SyncUpdate 4652121762545616561 127.0.0.1
46.1168734: SyncUpdate 4652121762545616561 127.0.0.1
46.2191275: SyncUpdate 4652121762545616561 127.0.0.1
46.3188386: SyncUpdate 4652121762545616561 127.0.0.1
46.4202584: SyncUpdate 4652121762545616561 127.0.0.1
