...Logging started...
0.0405298: Server Started
9.2920835: RespondedAwaitingApproval 371932531141727072 127.0.0.1
9.3492657: RespondedConnect 371932531141727072 127.0.0.1
9.4522629: Connected 371932531141727072 127.0.0.1
9.4865415: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: StartVoIP( 1 )

9.5005579: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetPlayerId( 0 )

9.5941326: AreaChange 371932531141727072 127.0.0.1
9.694951: Instantiate 371932531141727072 127.0.0.1
	NetworkId: 1
	Prefab: Player
	Loc: -14.46048, 0.5, 14.54582
	Orientation: 0, 1, 0, 0
9.7371565: RPC ServerOnly NetSyncId: -1 Function: PlayerGameObjectSpawned( 0, 1 )

9.7549527: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: 1 Function: SetMovementSpeed( 150 )

9.7603303: => Outgoing RPC Sent to: SingleClient as SingleClient NetSyncId: -1 Function: SetFieldOfView( 10 )

32.1387727: SyncUpdate 371932531141727072 127.0.0.1
32.2385598: SyncUpdate 371932531141727072 127.0.0.1
32.3552784: SyncUpdate 371932531141727072 127.0.0.1
32.4543523: SyncUpdate 371932531141727072 127.0.0.1
32.580722: SyncUpdate 371932531141727072 127.0.0.1
32.6856319: SyncUpdate 371932531141727072 127.0.0.1
32.8210583: SyncUpdate 371932531141727072 127.0.0.1
32.9239391: SyncUpdate 371932531141727072 127.0.0.1
33.0384561: SyncUpdate 371932531141727072 127.0.0.1
33.1446201: SyncUpdate 371932531141727072 127.0.0.1
33.2578901: SyncUpdate 371932531141727072 127.0.0.1
33.3545295: SyncUpdate 371932531141727072 127.0.0.1
33.5719135: SyncUpdate 371932531141727072 127.0.0.1
33.781529: SyncUpdate 371932531141727072 127.0.0.1
33.8198234: SyncUpdate 371932531141727072 127.0.0.1
33.9119527: SyncUpdate 371932531141727072 127.0.0.1
34.0371688: SyncUpdate 371932531141727072 127.0.0.1
34.1243974: SyncUpdate 371932531141727072 127.0.0.1
34.3202166: SyncUpdate 371932531141727072 127.0.0.1
34.4507384: SyncUpdate 371932531141727072 127.0.0.1
34.5228685: SyncUpdate 371932531141727072 127.0.0.1
34.599539: SyncUpdate 371932531141727072 127.0.0.1
34.7046677: SyncUpdate 371932531141727072 127.0.0.1
34.8241768: SyncUpdate 371932531141727072 127.0.0.1
35.0073952: SyncUpdate 371932531141727072 127.0.0.1
35.0819811: SyncUpdate 371932531141727072 127.0.0.1
35.1919514: SyncUpdate 371932531141727072 127.0.0.1
35.2629166: SyncUpdate 371932531141727072 127.0.0.1
35.3427817: SyncUpdate 371932531141727072 127.0.0.1
35.4698073: SyncUpdate 371932531141727072 127.0.0.1
35.5666903: SyncUpdate 371932531141727072 127.0.0.1
35.6815938: SyncUpdate 371932531141727072 127.0.0.1
35.7902394: SyncUpdate 371932531141727072 127.0.0.1
35.8900086: SyncUpdate 371932531141727072 127.0.0.1
36.006362: SyncUpdate 371932531141727072 127.0.0.1
36.1126632: SyncUpdate 371932531141727072 127.0.0.1
36.2206685: SyncUpdate 371932531141727072 127.0.0.1
36.3325563: SyncUpdate 371932531141727072 127.0.0.1
36.4410488: SyncUpdate 371932531141727072 127.0.0.1
36.5568736: SyncUpdate 371932531141727072 127.0.0.1
36.667577: SyncUpdate 371932531141727072 127.0.0.1
36.7949161: SyncUpdate 371932531141727072 127.0.0.1
36.8892645: SyncUpdate 371932531141727072 127.0.0.1
37.0192882: SyncUpdate 371932531141727072 127.0.0.1
37.2093106: SyncUpdate 371932531141727072 127.0.0.1
37.3281124: SyncUpdate 371932531141727072 127.0.0.1
37.3569437: SyncUpdate 371932531141727072 127.0.0.1
37.4937363: SyncUpdate 371932531141727072 127.0.0.1
37.5870086: SyncUpdate 371932531141727072 127.0.0.1
37.7046072: SyncUpdate 371932531141727072 127.0.0.1
37.8198585: SyncUpdate 371932531141727072 127.0.0.1
37.950898: SyncUpdate 371932531141727072 127.0.0.1
38.0984577: SyncUpdate 371932531141727072 127.0.0.1
38.1659766: SyncUpdate 371932531141727072 127.0.0.1
38.2369987: SyncUpdate 371932531141727072 127.0.0.1
38.3586402: SyncUpdate 371932531141727072 127.0.0.1
38.4579118: SyncUpdate 371932531141727072 127.0.0.1
38.6223475: SyncUpdate 371932531141727072 127.0.0.1
38.7285204: SyncUpdate 371932531141727072 127.0.0.1
38.8001325: SyncUpdate 371932531141727072 127.0.0.1
38.9047534: SyncUpdate 371932531141727072 127.0.0.1
39.0150579: SyncUpdate 371932531141727072 127.0.0.1
39.1923167: SyncUpdate 371932531141727072 127.0.0.1
39.3139898: SyncUpdate 371932531141727072 127.0.0.1
39.3855549: SyncUpdate 371932531141727072 127.0.0.1
39.4716001: SyncUpdate 371932531141727072 127.0.0.1
39.5768591: SyncUpdate 371932531141727072 127.0.0.1
39.6956858: SyncUpdate 371932531141727072 127.0.0.1
39.8433489: SyncUpdate 371932531141727072 127.0.0.1
39.9709572: SyncUpdate 371932531141727072 127.0.0.1
40.1151884: SyncUpdate 371932531141727072 127.0.0.1
40.1619556: SyncUpdate 371932531141727072 127.0.0.1
40.2487394: SyncUpdate 371932531141727072 127.0.0.1
41.0401106: SyncUpdate 371932531141727072 127.0.0.1
41.066741: SyncUpdate 371932531141727072 127.0.0.1
41.1443011: SyncUpdate 371932531141727072 127.0.0.1
41.2335188: SyncUpdate 371932531141727072 127.0.0.1
41.3649192: SyncUpdate 371932531141727072 127.0.0.1
41.5358371: SyncUpdate 371932531141727072 127.0.0.1
41.6069593: SyncUpdate 371932531141727072 127.0.0.1
41.7019438: SyncUpdate 371932531141727072 127.0.0.1
41.822455: SyncUpdate 371932531141727072 127.0.0.1
41.9388452: SyncUpdate 371932531141727072 127.0.0.1
42.0981445: SyncUpdate 371932531141727072 127.0.0.1
42.1495897: SyncUpdate 371932531141727072 127.0.0.1
42.2570563: SyncUpdate 371932531141727072 127.0.0.1
42.373413: SyncUpdate 371932531141727072 127.0.0.1
42.4689: SyncUpdate 371932531141727072 127.0.0.1
42.5813451: SyncUpdate 371932531141727072 127.0.0.1
42.7166213: SyncUpdate 371932531141727072 127.0.0.1
42.8383451: SyncUpdate 371932531141727072 127.0.0.1
42.9638884: SyncUpdate 371932531141727072 127.0.0.1
43.0625597: SyncUpdate 371932531141727072 127.0.0.1
43.15883: SyncUpdate 371932531141727072 127.0.0.1
43.2533365: SyncUpdate 371932531141727072 127.0.0.1
43.3523789: SyncUpdate 371932531141727072 127.0.0.1
43.5038467: SyncUpdate 371932531141727072 127.0.0.1
43.5843902: SyncUpdate 371932531141727072 127.0.0.1
43.7017793: SyncUpdate 371932531141727072 127.0.0.1
43.8006963: SyncUpdate 371932531141727072 127.0.0.1
43.9307555: SyncUpdate 371932531141727072 127.0.0.1
44.0425025: SyncUpdate 371932531141727072 127.0.0.1
44.3246934: SyncUpdate 371932531141727072 127.0.0.1
44.3339301: SyncUpdate 371932531141727072 127.0.0.1
44.5736279: SyncUpdate 371932531141727072 127.0.0.1
44.5914397: SyncUpdate 371932531141727072 127.0.0.1
44.6791685: SyncUpdate 371932531141727072 127.0.0.1
44.7772064: SyncUpdate 371932531141727072 127.0.0.1
44.8755908: SyncUpdate 371932531141727072 127.0.0.1
45.0649141: SyncUpdate 371932531141727072 127.0.0.1
45.1959052: SyncUpdate 371932531141727072 127.0.0.1
45.2248316: SyncUpdate 371932531141727072 127.0.0.1
45.3241065: SyncUpdate 371932531141727072 127.0.0.1
45.4749224: SyncUpdate 371932531141727072 127.0.0.1
45.6943853: SyncUpdate 371932531141727072 127.0.0.1
45.7251525: SyncUpdate 371932531141727072 127.0.0.1
45.8625312: SyncUpdate 371932531141727072 127.0.0.1
45.9133514: SyncUpdate 371932531141727072 127.0.0.1
46.0154372: SyncUpdate 371932531141727072 127.0.0.1
46.1000197: SyncUpdate 371932531141727072 127.0.0.1
46.2082287: SyncUpdate 371932531141727072 127.0.0.1
46.3003446: SyncUpdate 371932531141727072 127.0.0.1
46.4216967: SyncUpdate 371932531141727072 127.0.0.1
46.6839602: SyncUpdate 371932531141727072 127.0.0.1
46.8558338: SyncUpdate 371932531141727072 127.0.0.1
46.8634021: SyncUpdate 371932531141727072 127.0.0.1
47.051583: SyncUpdate 371932531141727072 127.0.0.1
47.1002954: SyncUpdate 371932531141727072 127.0.0.1
47.1820585: SyncUpdate 371932531141727072 127.0.0.1
48.1747029: SyncUpdate 371932531141727072 127.0.0.1
